_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6848,10034904,953,Gerrard St E,953 Gerrard St E,M4M 1Z4,former Toronto,Toronto,Toronto-Danforth (14),"Matty Eckler Playground,Pape Avenue Playground",115001,10034902,953,,,,3495,,,,,117,Bike Rack,Pape Ave,16,2.9,2016,,,62,"{u'type': u'Point', u'coordinates': (-79.339396983, 43.6680536711)}"
6849,10335151,695,Lansdowne Ave,695 Lansdowne Ave,M6H 3Y9,former Toronto,Toronto,Davenport (9),,115001,14012788,695,,,,3814,,,,,97,Bike Rack,Lansdowne Ave,8,2.9,2014,,,63,"{u'type': u'Point', u'coordinates': (-79.4428104295, 43.6591290436)}"
6850,825934,55,John St,55 John St,M5V 3C6,former Toronto,Toronto,Spadina-Fort York (10),Metro Hall,115001,1146312,55,,,,9747,,,,,84,Bike Rack,John St,16,2.9,2015,,,64,"{u'type': u'Point', u'coordinates': (-79.3889314921, 43.6461537935)}"
6851,14171704,300,Victoria St,300 Victoria St,,former Toronto,Toronto,Toronto Centre (13),,115001,30075809,300,,,,9790,,,,,52,Bike Rack,Gould St,32,2.9,2016,,,65,"{u'type': u'Point', u'coordinates': (-79.3802376739, 43.6575126332)}"
6852,30015452,138,Fort York Blvd,138 Fort York Blvd,M5V 0E3,former Toronto,Toronto,Spadina-Fort York (10),,115001,30015458,138,,,,15826,,,,,20,Bike Rack,Ft York Blvd,8,2.9,2016,,,66,"{u'type': u'Point', u'coordinates': (-79.3987871032, 43.6393807611)}"
6853,8312904,1595,Dupont St,1595 Dupont St,M6P 3S8,former Toronto,Toronto,Davenport (9),,115001,8312902,1595,,,,3343,,,,,26,Bike Rack,Franklin Ave,8,2.9,2017,,,67,"{u'type': u'Point', u'coordinates': (-79.454219318, 43.6649358895)}"
6854,8408498,2,Bloor St W,2 Bloor St W,M4W 3E2,former Toronto,Toronto,University-Rosedale (11),,115001,10759265,2,,,,458,,,,,32,Bike Rack,Yonge St,32,2.9,2016,,,68,"{u'type': u'Point', u'coordinates': (-79.3872300479, 43.670400436)}"
6855,10430677,2000,Yonge St,2000 Yonge St,M4S 1Z7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10430667,2000,,,,4733,,,,,37,Bike Rack,Glebe Rd W,8,2.9,2016,,,69,"{u'type': u'Point', u'coordinates': (-79.3973815441, 43.7004743322)}"
6856,20111213,22,Fort York Blvd,22 Fort York Blvd,M5V 3Z2,former Toronto,Toronto,Spadina-Fort York (10),,115001,20035046,22,,,,15826,,,,,43,Bike Rack,Fort York Blvd,8,2.9,2017,,,70,"{u'type': u'Point', u'coordinates': (-79.3941963993, 43.6405581342)}"
6857,9942213,268,College St,268 College St,M5T 1S1,former Toronto,Toronto,University-Rosedale (11),,115001,14022731,268,,,,9765,,,,,49,Bike Corral,College St,14,5.5,2016,NO,,71,"{u'type': u'Point', u'coordinates': (-79.4005149554, 43.6581487248)}"
6858,6292601,3530,Sheppard Ave E,3530 Sheppard Ave E,M1T 3K7,Scarborough,Toronto,Scarborough-Agincourt (22),Holy Spirit Catholic School,115001,6292597,3530,,,,6698,,,,,56,Bike Rack,Sheppard Ave E,8,2.9,2014,,,72,"{u'type': u'Point', u'coordinates': (-79.3030962421, 43.7812077533)}"
6859,10223670,441,King St W,441 King St W,M5V 1K4,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,441,,,,3780,,,,,68,Bike Rack,King St W,8,2.9,2016,,,73,"{u'type': u'Point', u'coordinates': (-79.3956715229, 43.6451488397)}"
6860,12107167,490,Bloor St W,490 Bloor St W,M5S 1X8,former Toronto,Toronto,University-Rosedale (11),,115001,12107157,490,,,,458,,,,,73,Bike Rack,Albany Ave,8,2.9,2016,,,74,"{u'type': u'Point', u'coordinates': (-79.4097622063, 43.665628341)}"
6861,772852,509,Bloor St W,509 Bloor St W,M5S 1Y2,former Toronto,Toronto,University-Rosedale (11),,115001,1142919,509,,,,458,,,,,79,Bike Rack,Borden St W,8,2.9,2017,,,75,"{u'type': u'Point', u'coordinates': (-79.4083859965, 43.6654609016)}"
6862,8292528,666,Queen St E,666 Queen St E,M4M 1G8,former Toronto,Toronto,Toronto-Danforth (14),,115001,8292524,666,,,,4237,,,,,92,Bike Rack,Munro St,8,2.9,2016,,,76,"{u'type': u'Point', u'coordinates': (-79.3515005143, 43.6586988939)}"
6863,7389731,71,Second St,71 Second St,M8V 2X4,Etobicoke,Toronto,Etobicoke-Lakeshore (3),Second Street Junior Middle School,115001,7389724,71,,,,2447,,,,,99,Bike Rack,Second St,8,2.9,2016,,,77,"{u'type': u'Point', u'coordinates': (-79.4997662582, 43.6036684224)}"
6864,8293016,1485,Dupont St,1485 Dupont St,M6P 3S2,former Toronto,Toronto,Davenport (9),,115001,14013265,1485,,,,3343,,,,,21,Bike Corral,Campbell Ave,14,5.5,2016,NO,,78,"{u'type': u'Point', u'coordinates': (-79.4501905748, 43.6657993325)}"
6865,828085,200,King St E,200 King St E,M5A 3W8,former Toronto,Toronto,Toronto Centre (13),,115001,1145266,200,,,,3779,,,,,35,Bike Rack,Adelaide St E and Frederick St,16,2.9,2017,,,79,"{u'type': u'Point', u'coordinates': (-79.3701856619, 43.6511004642)}"
